model_id,t_end
BIOMD3,100
BIOMD4,100
BIOMD5,100
BIOMD6,100
BIOMD8,100
BIOMD10,3000
BIOMD11,100
BIOMD12,500
BIOMD13,0.3
BIOMD14,200
BIOMD15,0.2
BIOMD21,40
BIOMD22,100
BIOMD23,3000
BIOMD26,1000
BIOMD27,1000
BIOMD28,1000
BIOMD29,1000
BIOMD30,1000
BIOMD31,100
BIOMD32,600
BIOMD33,5
BIOMD35,40
BIOMD37,40
BIOMD38,0.003
BIOMD39,20
BIOMD41,1
BIOMD42,400
BIOMD43,5
BIOMD44,5
BIOMD45,50
BIOMD46,1000
BIOMD47,50
BIOMD49,2000
BIOMD50,2000
BIOMD51,500
BIOMD52,1000
BIOMD54,200
BIOMD55,50
BIOMD57,5
BIOMD58,10
BIOMD59,100
BIOMD60,10
BIOMD61,10
BIOMD62,200
BIOMD64,2
BIOMD65,100
BIOMD66,100
BIOMD67,200
BIOMD68,1000
BIOMD69,50
BIOMD70,1
BIOMD71,1
BIOMD72,1000
BIOMD73,50
BIOMD74,200
BIOMD76,2
BIOMD79,20
BIOMD84,40
